volume,vol_weighted,price_open,price_close,price_high,price_low,timestamp,num_trades,ticker
112117471.0,125.725,130.28,125.07,130.9,124.17,1672722000000,1021065,AAPL
89100633.0,126.6464,126.89,126.36,128.6557,125.08,1672808400000,770042,AAPL
80716808.0,126.0883,127.13,125.02,127.77,124.76,1672894800000,665458,AAPL
87754715.0,128.1982,126.01,129.62,130.29,124.89,1672981200000,711520,AAPL
70790813.0,131.6292,130.465,130.15,133.41,129.89,1673240400000,645365,AAPL
63896155.0,129.822,130.26,130.73,131.2636,128.12,1673326800000,554940,AAPL
69458949.0,132.3081,131.25,133.49,133.51,130.46,1673413200000,561278,AAPL
71379648.0,133.171,133.88,133.41,134.26,131.44,1673499600000,635331,AAPL
57809719.0,133.6773,132.03,134.76,134.92,131.66,1673586000000,537385,AAPL
63612627.0,135.7587,134.83,135.94,137.29,134.13,1673931600000,595831,AAPL
69672800.0,136.3316,136.815,135.21,138.61,135.03,1674018000000,578304,AAPL
58280413.0,134.9653,134.08,135.27,136.25,133.77,1674104400000,491674,AAPL
80200655.0,136.3762,135.28,137.87,138.02,134.22,1674190800000,552230,AAPL
81760313.0,141.2116,138.12,141.11,143.315,137.9,1674450000000,719288,AAPL
66435142.0,142.0507,140.305,142.53,143.16,140.3,1674536400000,498679,AAPL
65799349.0,140.7526,140.89,141.86,142.43,138.81,1674622800000,536505,AAPL
54105068.0,143.3429,143.17,143.96,144.25,141.9,1674709200000,472135,AAPL
70547743.0,145.8365,143.155,145.93,147.23,143.08,1674795600000,560022,AAPL
64015274.0,143.6524,144.955,143.0,145.55,142.85,1675054800000,551111,AAPL
65874459.0,143.6473,142.7,144.29,144.34,142.28,1675141200000,468170,AAPL
77663426.0,143.8723,143.97,145.43,146.61,141.32,1675227600000,693374,AAPL
118338980.0,149.3764,148.9,150.82,151.18,148.17,1675314000000,996203,AAPL
154338835.0,154.2437,148.03,154.5,157.38,147.83,1675400400000,1141350,AAPL
69771906.0,152.0939,152.575,151.73,153.1,150.78,1675659600000,583517,AAPL
83322551.0,153.4202,150.64,154.65,155.23,150.64,1675746000000,661767,AAPL
63620079.0,152.3636,153.88,151.92,154.58,151.168,1675832400000,524140,AAPL
55994243.0,152.2769,153.775,150.87,154.33,150.42,1675918800000,471973,AAPL
57388108.0,150.4054,149.46,151.01,151.3401,149.22,1676005200000,443405,AAPL
62199013.0,153.231,150.952,153.85,154.26,150.92,1676264400000,506668,AAPL
61664023.0,152.5956,152.12,153.2,153.77,150.86,1676350800000,528566,AAPL
65665252.0,154.4536,153.11,155.33,155.5,152.88,1676437200000,520574,AAPL
68167942.0,154.7143,153.51,153.71,156.33,153.3475,1676523600000,516187,AAPL
59105618.0,152.0451,152.35,152.55,153.0,150.85,1676610000000,468580,AAPL
58217230.0,149.3501,150.2,148.48,151.3,148.405,1676955600000,509342,AAPL
51008155.0,148.5494,148.87,148.91,149.95,147.16,1677042000000,429775,AAPL
48392049.0,148.8407,150.09,149.4,150.34,147.24,1677128400000,425159,AAPL
55469606.0,146.3861,147.11,146.71,147.19,145.7202,1677214800000,472221,AAPL
44998470.0,148.1344,147.71,147.92,149.17,147.45,1677474000000,418069,AAPL
50546998.0,147.7996,147.05,147.41,149.08,146.83,1677560400000,383779,AAPL
55478991.0,145.868,146.83,145.31,147.2285,145.01,1677646800000,461613,AAPL
