trading_date,price_AAPL,price_TSLA,price_JPM,price_NVDA
2023-06-02,180.6479,214.4711,140.6835,39.5584
2023-06-05,182.1408,218.1987,138.891,39.0982
2023-06-06,178.7093,218.0639,139.2858,38.7135
2023-06-07,178.6619,226.6049,140.372,38.3628
2023-06-08,179.5493,231.9463,140.3491,38.3536
2023-06-09,181.4395,247.1601,141.0738,39.0755
2023-06-12,182.836,247.9797,140.7479,39.0519
2023-06-13,183.1702,255.9313,142.0639,40.5323
2023-06-14,183.7101,257.1938,141.7352,41.9726
2023-06-15,185.5672,255.4895,142.4466,42.7834
2023-06-16,185.4644,260.5693,143.2562,43.2029
2023-06-20,185.2709,267.9665,142.3243,43.2741
2023-06-21,184.0809,265.4343,142.7701,42.8658
2023-06-22,186.1166,259.8135,140.0866,42.9671
2023-06-23,186.4952,257.7192,138.78,42.3914
2023-06-26,186.3292,248.4735,138.9776,41.1369
2023-06-27,187.4998,246.0817,139.1811,41.2473
2023-06-28,188.8916,255.8218,138.5679,41.1771
2023-06-29,189.5561,256.8825,142.7042,40.9724
2023-06-30,193.102,262.7358,145.1738,42.2186
2023-07-03,192.6624,279.4365,146.7011,42.5106
2023-07-05,191.5803,280.5643,144.836,42.6645
2023-07-06,190.8214,276.5306,142.653,41.8158
2023-07-07,191.4218,277.4963,144.7871,42.7642
2023-07-10,188.3628,269.9791,145.1726,42.1307
2023-07-11,187.8219,268.5294,147.0424,42.3753
2023-07-12,189.9586,273.493,148.5428,43.5979
2023-07-13,190.565,274.8434,148.7957,45.1937
2023-07-14,190.4662,280.6967,150.1386,46.6484
2023-07-17,193.2997,288.1194,152.6753,45.9012
2023-07-18,193.3846,290.1081,153.7237,46.9006
2023-07-19,194.9188,294.2295,154.1782,47.1594
2023-07-20,194.276,269.7666,156.0587,45.938
2023-07-21,192.5948,261.901,155.3254,44.6069
2023-07-24,193.2011,264.1066,157.6303,44.6314
2023-07-25,193.804,268.5547,156.9654,45.7727
2023-07-26,194.3737,264.8215,157.3907,45.3175
2023-07-27,194.8773,262.8828,156.8925,46.6612
2023-07-28,195.8075,264.2884,156.9395,46.7053
2023-07-31,196.1507,266.6378,157.9276,46.7544
2023-08-01,195.8486,262.3584,156.9426,46.4957
2023-08-02,192.9395,254.7165,155.0563,44.4401
2023-08-03,191.1312,256.8055,156.148,44.6257
2023-08-04,184.279,258.2077,156.7255,45.0115
2023-08-07,179.0119,247.8972,156.9842,45.1157
2023-08-08,178.9854,248.5626,154.6064,44.618
2023-08-09,178.4887,245.2037,154.3222,42.9772
2023-08-10,178.7951,246.9181,153.983,42.6163
2023-08-11,177.8056,241.4995,154.0587,41.1828
2023-08-14,178.9475,237.8669,154.3355,42.6908
2023-08-15,177.9886,235.1623,151.0194,44.3807
2023-08-16,177.4133,229.1976,150.4072,43.9366
2023-08-17,174.5857,222.85,149.4739,43.5102
2023-08-18,173.8904,215.3288,148.7866,42.7061
2023-08-21,175.2221,227.5632,149.2954,45.7943
2023-08-22,177.0098,234.5499,146.9339,46.2698
2023-08-23,180.6482,235.0747,146.89,47.4753
2023-08-24,177.7035,231.9755,147.6591,48.3883
2023-08-25,177.9075,235.0638,146.9658,46.0943
2023-08-28,179.6595,238.5989,147.7754,46.1487
2023-08-29,183.28,250.6305,148.3758,48.3425
2023-08-30,186.93,255.8745,148.0695,49.3092
2023-08-31,188.1489,258.0347,146.7023,49.4372
2023-09-01,189.0424,248.2783,147.1291,48.6793
2023-09-05,189.1084,253.7066,145.6657,48.4553
2023-09-06,183.786,249.5469,144.8844,47.1461
2023-09-07,176.7332,248.2384,144.051,45.8289
2023-09-08,179.0663,251.3775,143.6746,45.7668
2023-09-11,178.8465,268.7353,144.3658,44.9381
2023-09-12,176.7048,271.5987,145.9841,45.1759
2023-09-13,175.0352,271.5792,146.6009,45.4121
2023-09-14,175.3715,274.4959,149.2306,45.5761
2023-09-15,175.0843,274.3254,148.8928,44.3172
2023-09-18,177.8915,266.8305,148.7779,43.5806
2023-09-19,178.4293,264.9527,148.6482,43.4554
2023-09-20,176.9653,268.2638,149.0472,43.1308
2023-09-21,174.8619,257.4932,147.5148,41.4309
2023-09-22,175.4667,251.4177,146.1523,41.7155
2023-09-25,175.6665,244.196,145.4336,42.0972
2023-09-26,172.7156,245.5599,144.9817,42.1458
2023-09-27,170.5335,240.4794,145.4721,42.2415
2023-09-28,170.297,243.9989,147.7086,42.9396
2023-09-29,171.5997,251.0357,145.8814,43.7037
2023-10-02,173.2879,249.4017,143.7039,44.6532
2023-10-03,172.1342,247.3658,142.8411,44.014
2023-10-04,172.9437,255.8023,142.8084,43.797
2023-10-05,174.2297,259.6693,142.227,44.4551
2023-10-06,176.3366,256.3231,144.6656,45.1349
2023-10-09,177.8683,256.316,144.5491,44.9567
2023-10-10,178.6901,264.9455,145.9523,45.8083
2023-10-11,178.9503,264.0689,146.0618,46.441
2023-10-12,180.9482,261.7214,146.0076,47.078
2023-10-13,179.4154,254.0476,149.9691,45.997
2023-10-16,178.1478,252.9076,147.801,45.8292
2023-10-17,176.8623,253.2246,147.8939,43.8716
2023-10-18,176.3501,246.0077,146.2996,42.4139
2023-10-19,176.215,221.9815,145.7637,42.5616
2023-10-20,173.7459,214.0053,143.3005,41.6152
2023-10-23,172.3829,211.5664,142.1008,42.4645
2023-10-24,172.7333,217.6314,141.1721,43.2149
2023-10-25,171.4932,215.9507,140.3643,42.3943
2023-10-26,167.5944,208.3265,140.8031,40.7003
2023-10-27,167.9072,208.6603,136.4977,40.579
2023-10-30,170.0788,200.01,137.2317,41.0835
2023-10-31,169.9252,199.042,138.7471,40.1835
2023-11-01,172.6187,201.9491,139.2953,41.7702
2023-11-02,176.6794,216.3665,140.9369,43.3724
2023-11-03,175.5751,221.1584,143.0045,44.6275
